Dias_primer_caso,Casos,Poblacion,Tipo_transmision,Disponibilidad_camas,Poblacion_Urbana,Poblacion_Servicios_Sanitarios,Dias_ultimo_infectado,Pico
0,1,82927922,U,830000,63356932,82098642,0,1
1,3,82927922,U,830000,63356932,82098642,0,3
2,0,82927922,U,830000,63356932,82098642,1,3
3,1,82927922,U,830000,63356932,82098642,0,3
4,2,82927922,U,830000,63356932,82098642,0,3
5,1,82927922,U,830000,63356932,82098642,0,3
6,1,82927922,U,830000,63356932,82098642,0,3
7,2,82927922,U,830000,63356932,82098642,0,3
8,0,82927922,U,830000,63356932,82098642,1,3
9,0,82927922,U,830000,63356932,82098642,2,3
10,1,82927922,U,830000,63356932,82098642,0,3
11,1,82927922,U,830000,63356932,82098642,0,3
12,0,82927922,U,830000,63356932,82098642,1,3
13,0,82927922,U,830000,63356932,82098642,2,3
14,0,82927922,U,830000,63356932,82098642,3,3
15,2,82927922,U,830000,63356932,82098642,0,3
16,0,82927922,U,830000,63356932,82098642,1,3
17,0,82927922,U,830000,63356932,82098642,2,3
18,0,82927922,U,830000,63356932,82098642,3,3
19,0,82927922,U,830000,63356932,82098642,4,3
20,0,82927922,U,830000,63356932,82098642,5,3
21,0,82927922,U,830000,63356932,82098642,6,3
22,0,82927922,U,830000,63356932,82098642,7,3
23,0,82927922,U,830000,63356932,82098642,8,3
24,0,82927922,U,830000,63356932,82098642,9,3
25,0,82927922,U,830000,63356932,82098642,10,3
26,0,82927922,U,830000,63356932,82098642,11,3
27,0,82927922,U,830000,63356932,82098642,12,3
28,0,82927922,U,830000,63356932,82098642,13,3
29,2,82927922,U,830000,63356932,82098642,0,3
30,4,82927922,U,830000,63356932,82098642,0,4
31,26,82927922,U,830000,63356932,82098642,0,26
32,10,82927922,L,830000,63356932,82098642,0,26
33,54,82927922,L,830000,63356932,82098642,0,54
34,18,82927922,L,830000,63356932,82098642,0,54
35,28,82927922,L,830000,63356932,82098642,0,54
36,39,82927922,L,830000,63356932,82098642,0,54
37,66,82927922,L,830000,63356932,82098642,0,66
38,138,82927922,L,830000,63356932,82098642,0,138
39,284,82927922,L,830000,63356932,82098642,0,284
40,163,82927922,L,830000,63356932,82098642,0,284
41,55,82927922,L,830000,63356932,82098642,0,284
42,237,82927922,L,830000,63356932,82098642,0,284
43,157,82927922,L,830000,63356932,82098642,0,284
44,271,82927922,L,830000,63356932,82098642,0,284
45,802,82927922,L,830000,63356932,82098642,0,802
46,693,82927922,L,830000,63356932,82098642,0,802
47,733,82927922,L,830000,63356932,82098642,0,802
48,1043,82927922,L,830000,63356932,82098642,0,1043
49,1174,82927922,L,830000,63356932,82098642,0,1174
50,1144,82927922,L,830000,63356932,82098642,0,1174
51,1042,82927922,L,830000,63356932,82098642,0,1174
52,5940,82927922,L,830000,63356932,82098642,0,5940
53,4049,82927922,L,830000,63356932,82098642,0,5940
54,3276,82927922,L,830000,63356932,82098642,0,5940
55,3311,82927922,L,830000,63356932,82098642,0,5940
56,4438,82927922,L,830000,63356932,82098642,0,5940
57,2342,82927922,L,830000,63356932,82098642,0,5940
58,4954,82927922,L,830000,63356932,82098642,0,5940
59,5780,82927922,L,830000,63356932,82098642,0,5940
