Dias_primer_caso,Casos,Poblacion,Tipo_transmision,Disponibilidad_camas,Poblacion_Urbana,Poblacion_Servicios_Sanitarios,Dias_ultimo_infectado,Pico
0,27,1392730000,L,420000,849565300,1183820500,0,27
1,0,1392730000,L,420000,849565300,1183820500,1,27
2,0,1392730000,L,420000,849565300,1183820500,2,27
3,17,1392730000,L,420000,849565300,1183820500,0,27
4,0,1392730000,L,420000,849565300,1183820500,1,27
5,15,1392730000,L,420000,849565300,1183820500,0,27
6,0,1392730000,L,420000,849565300,1183820500,1,27
7,0,1392730000,L,420000,849565300,1183820500,2,27
8,0,1392730000,L,420000,849565300,1183820500,3,27
9,0,1392730000,L,420000,849565300,1183820500,4,27
10,0,1392730000,L,420000,849565300,1183820500,5,27
11,0,1392730000,L,420000,849565300,1183820500,6,27
12,0,1392730000,L,420000,849565300,1183820500,7,27
13,0,1392730000,L,420000,849565300,1183820500,8,27
14,0,1392730000,L,420000,849565300,1183820500,9,27
15,0,1392730000,L,420000,849565300,1183820500,10,27
16,0,1392730000,L,420000,849565300,1183820500,11,27
17,4,1392730000,L,420000,849565300,1183820500,0,27
18,17,1392730000,L,420000,849565300,1183820500,0,27
19,136,1392730000,L,420000,849565300,1183820500,0,136
20,19,1392730000,L,420000,849565300,1183820500,0,136
21,151,1392730000,L,420000,849565300,1183820500,0,151
22,140,1392730000,L,420000,849565300,1183820500,0,151
23,97,1392730000,L,420000,849565300,1183820500,0,151
24,259,1392730000,L,420000,849565300,1183820500,0,259
25,441,1392730000,L,420000,849565300,1183820500,0,441
26,665,1392730000,L,420000,849565300,1183820500,0,665
27,787,1392730000,L,420000,849565300,1183820500,0,787
28,1753,1392730000,L,420000,849565300,1183820500,0,1753
29,1466,1392730000,L,420000,849565300,1183820500,0,1753
30,1740,1392730000,L,420000,849565300,1183820500,0,1753
31,1980,1392730000,L,420000,849565300,1183820500,0,1980
32,2095,1392730000,L,420000,849565300,1183820500,0,2095
33,2590,1392730000,L,420000,849565300,1183820500,0,2590
34,2812,1392730000,L,420000,849565300,1183820500,0,2812
35,3237,1392730000,L,420000,849565300,1183820500,0,3237
36,3872,1392730000,L,420000,849565300,1183820500,0,3872
37,3727,1392730000,L,420000,849565300,1183820500,0,3872
38,3160,1392730000,L,420000,849565300,1183820500,0,3872
39,3418,1392730000,L,420000,849565300,1183820500,0,3872
40,2607,1392730000,L,420000,849565300,1183820500,0,3872
41,2974,1392730000,L,420000,849565300,1183820500,0,3872
42,2490,1392730000,L,420000,849565300,1183820500,0,3872
43,2028,1392730000,L,420000,849565300,1183820500,0,3872
44,15141,1392730000,L,420000,849565300,1183820500,0,15141
45,4156,1392730000,L,420000,849565300,1183820500,0,15141
46,2538,1392730000,L,420000,849565300,1183820500,0,15141
47,2007,1392730000,L,420000,849565300,1183820500,0,15141
48,2052,1392730000,L,420000,849565300,1183820500,0,15141
49,1890,1392730000,L,420000,849565300,1183820500,0,15141
50,1750,1392730000,L,420000,849565300,1183820500,0,15141
51,394,1392730000,L,420000,849565300,1183820500,0,15141
52,891,1392730000,L,420000,849565300,1183820500,0,15141
53,826,1392730000,L,420000,849565300,1183820500,0,15141
54,647,1392730000,L,420000,849565300,1183820500,0,15141
55,218,1392730000,L,420000,849565300,1183820500,0,15141
56,515,1392730000,L,420000,849565300,1183820500,0,15141
57,410,1392730000,L,420000,849565300,1183820500,0,15141
58,439,1392730000,L,420000,849565300,1183820500,0,15141
59,329,1392730000,L,420000,849565300,1183820500,0,15141
60,428,1392730000,L,420000,849565300,1183820500,0,15141
61,574,1392730000,L,420000,849565300,1183820500,0,15141
62,205,1392730000,L,420000,849565300,1183820500,0,15141
63,127,1392730000,L,420000,849565300,1183820500,0,15141
64,119,1392730000,L,420000,849565300,1183820500,0,15141
65,117,1392730000,L,420000,849565300,1183820500,0,15141
66,170,1392730000,L,420000,849565300,1183820500,0,15141
67,101,1392730000,L,420000,849565300,1183820500,0,15141
68,46,1392730000,L,420000,849565300,1183820500,0,15141
69,45,1392730000,L,420000,849565300,1183820500,0,15141
70,20,1392730000,L,420000,849565300,1183820500,0,15141
71,29,1392730000,L,420000,849565300,1183820500,0,15141
72,24,1392730000,L,420000,849565300,1183820500,0,15141
73,22,1392730000,L,420000,849565300,1183820500,0,15141
74,19,1392730000,L,420000,849565300,1183820500,0,15141
75,22,1392730000,L,420000,849565300,1183820500,0,15141
76,25,1392730000,L,420000,849565300,1183820500,0,15141
77,110,1392730000,L,420000,849565300,1183820500,0,15141
78,33,1392730000,L,420000,849565300,1183820500,0,15141
79,75,1392730000,L,420000,849565300,1183820500,0,15141
80,99,1392730000,L,420000,849565300,1183820500,0,15141
81,79,1392730000,L,420000,849565300,1183820500,0,15141
82,83,1392730000,L,420000,849565300,1183820500,0,15141
83,150,1392730000,L,420000,849565300,1183820500,0,15141
84,99,1392730000,L,420000,849565300,1183820500,0,15141
85,99,1392730000,L,420000,849565300,1183820500,0,15141
86,121,1392730000,L,420000,849565300,1183820500,0,15141
87,111,1392730000,L,420000,849565300,1183820500,0,15141
