Dias_primer_caso,Casos,Poblacion,Tipo_transmision,Disponibilidad_camas,Poblacion_Urbana,Poblacion_Servicios_Sanitarios,Dias_ultimo_infectado,Pico
0,1,46723749,U,30000,37706065,46723749,0,1
1,0,46723749,U,30000,37706065,46723749,1,1
2,0,46723749,U,30000,37706065,46723749,2,1
3,0,46723749,U,30000,37706065,46723749,3,1
4,0,46723749,U,30000,37706065,46723749,4,1
5,0,46723749,U,30000,37706065,46723749,5,1
6,0,46723749,U,30000,37706065,46723749,6,1
7,0,46723749,U,30000,37706065,46723749,7,1
8,0,46723749,U,30000,37706065,46723749,8,1
9,1,46723749,U,30000,37706065,46723749,0,1
10,0,46723749,U,30000,37706065,46723749,1,1
11,0,46723749,U,30000,37706065,46723749,2,1
12,0,46723749,U,30000,37706065,46723749,3,1
13,0,46723749,U,30000,37706065,46723749,4,1
14,0,46723749,U,30000,37706065,46723749,5,1
15,0,46723749,U,30000,37706065,46723749,6,1
16,0,46723749,U,30000,37706065,46723749,7,1
17,0,46723749,U,30000,37706065,46723749,8,1
18,0,46723749,U,30000,37706065,46723749,9,1
19,0,46723749,U,30000,37706065,46723749,10,1
20,0,46723749,U,30000,37706065,46723749,11,1
21,0,46723749,U,30000,37706065,46723749,12,1
22,0,46723749,U,30000,37706065,46723749,13,1
23,0,46723749,U,30000,37706065,46723749,14,1
24,1,46723749,U,30000,37706065,46723749,0,1
25,4,46723749,U,30000,37706065,46723749,0,4
26,5,46723749,U,30000,37706065,46723749,0,5
27,13,46723749,U,30000,37706065,46723749,0,13
28,9,46723749,L,30000,37706065,46723749,0,13
29,32,46723749,L,30000,37706065,46723749,0,32
30,17,46723749,L,30000,37706065,46723749,0,32
31,31,46723749,L,30000,37706065,46723749,0,32
32,37,46723749,L,30000,37706065,46723749,0,37
33,49,46723749,L,30000,37706065,46723749,0,49
34,61,46723749,L,30000,37706065,46723749,0,61
35,113,46723749,L,30000,37706065,46723749,0,113
36,56,46723749,L,30000,37706065,46723749,0,113
37,159,46723749,L,30000,37706065,46723749,0,159
38,615,46723749,L,30000,37706065,46723749,0,615
39,435,46723749,L,30000,37706065,46723749,0,615
40,501,46723749,L,30000,37706065,46723749,0,615
41,864,46723749,L,30000,37706065,46723749,0,864
42,1227,46723749,L,30000,37706065,46723749,0,1227
43,1522,46723749,L,30000,37706065,46723749,0,1522
44,2000,46723749,L,30000,37706065,46723749,0,2000
45,1438,46723749,L,30000,37706065,46723749,0,2000
46,1987,46723749,L,30000,37706065,46723749,0,2000
47,2538,46723749,L,30000,37706065,46723749,0,2538
48,3431,46723749,L,30000,37706065,46723749,0,3431
49,2833,46723749,L,30000,37706065,46723749,0,3431
50,4946,46723749,L,30000,37706065,46723749,0,4946
51,3646,46723749,L,30000,37706065,46723749,0,4946
52,4517,46723749,L,30000,37706065,46723749,0,4946
53,6584,46723749,L,30000,37706065,46723749,0,6584
54,7937,46723749,L,30000,37706065,46723749,0,7937
55,8578,46723749,L,30000,37706065,46723749,0,8578
