Dias_primer_caso,Casos,Poblacion,Tipo_transmision,Disponibilidad_camas,Poblacion_Urbana,Poblacion_Servicios_Sanitarios,Dias_ultimo_infectado,Pico
0,1,327167434,U,290000,269913133,327167434,0,1
1,0,327167434,U,290000,269913133,327167434,1,1
2,0,327167434,U,290000,269913133,327167434,2,1
3,0,327167434,U,290000,269913133,327167434,3,1
4,1,327167434,U,290000,269913133,327167434,0,1
5,0,327167434,U,290000,269913133,327167434,1,1
6,3,327167434,U,290000,269913133,327167434,0,3
7,0,327167434,U,290000,269913133,327167434,1,3
8,0,327167434,U,290000,269913133,327167434,2,3
9,0,327167434,U,290000,269913133,327167434,3,3
10,1,327167434,U,290000,269913133,327167434,0,3
11,1,327167434,U,290000,269913133,327167434,0,3
12,1,327167434,U,290000,269913133,327167434,0,3
13,3,327167434,U,290000,269913133,327167434,0,3
14,0,327167434,U,290000,269913133,327167434,1,3
15,0,327167434,U,290000,269913133,327167434,2,3
16,1,327167434,U,290000,269913133,327167434,0,3
17,0,327167434,U,290000,269913133,327167434,1,3
18,0,327167434,U,290000,269913133,327167434,2,3
19,0,327167434,U,290000,269913133,327167434,3,3
20,0,327167434,U,290000,269913133,327167434,4,3
21,1,327167434,U,290000,269913133,327167434,0,3
22,0,327167434,U,290000,269913133,327167434,1,3
23,1,327167434,U,290000,269913133,327167434,0,3
24,1,327167434,U,290000,269913133,327167434,0,3
25,0,327167434,U,290000,269913133,327167434,1,3
26,0,327167434,U,290000,269913133,327167434,2,3
27,0,327167434,U,290000,269913133,327167434,3,3
28,0,327167434,U,290000,269913133,327167434,4,3
29,0,327167434,U,290000,269913133,327167434,5,3
30,0,327167434,U,290000,269913133,327167434,6,3
31,1,327167434,U,290000,269913133,327167434,0,3
32,19,327167434,U,290000,269913133,327167434,0,19
33,0,327167434,U,290000,269913133,327167434,1,19
34,0,327167434,U,290000,269913133,327167434,2,19
35,18,327167434,U,290000,269913133,327167434,0,19
36,0,327167434,U,290000,269913133,327167434,1,19
37,6,327167434,U,290000,269913133,327167434,0,19
38,1,327167434,L,290000,269913133,327167434,0,19
39,6,327167434,L,290000,269913133,327167434,0,19
40,3,327167434,L,290000,269913133,327167434,0,19
41,20,327167434,L,290000,269913133,327167434,0,20
42,14,327167434,L,290000,269913133,327167434,0,20
43,22,327167434,L,290000,269913133,327167434,0,22
44,34,327167434,L,290000,269913133,327167434,0,34
45,74,327167434,L,290000,269913133,327167434,0,74
46,105,327167434,L,290000,269913133,327167434,0,105
47,95,327167434,L,290000,269913133,327167434,0,105
48,121,327167434,L,290000,269913133,327167434,0,121
49,200,327167434,L,290000,269913133,327167434,0,200
50,271,327167434,L,290000,269913133,327167434,0,271
51,287,327167434,L,290000,269913133,327167434,0,287
52,351,327167434,L,290000,269913133,327167434,0,351
53,511,327167434,L,290000,269913133,327167434,0,511
54,777,327167434,L,290000,269913133,327167434,0,777
55,823,327167434,L,290000,269913133,327167434,0,823
56,887,327167434,L,290000,269913133,327167434,0,887
57,1766,327167434,L,290000,269913133,327167434,0,1766
58,2988,327167434,L,290000,269913133,327167434,0,2988
59,4835,327167434,L,290000,269913133,327167434,0,4835
60,5374,327167434,L,290000,269913133,327167434,0,5374
61,7123,327167434,L,290000,269913133,327167434,0,7123
62,8459,327167434,L,290000,269913133,327167434,0,8459
63,11236,327167434,L,290000,269913133,327167434,0,11236
64,8789,327167434,L,290000,269913133,327167434,0,11236
65,13963,327167434,L,290000,269913133,327167434,0,13963
66,16797,327167434,L,290000,269913133,327167434,0,16797
