Dias_primer_caso,Casos,Poblacion,Tipo_transmision,Disponibilidad_camas,Poblacion_Urbana,Poblacion_Servicios_Sanitarios,Dias_ultimo_infectado,Pico
0,3,60431283,U,340000,42181035,6366970,0,3
1,0,60431283,U,340000,42181035,6366970,1,3
2,0,60431283,U,340000,42181035,6366970,2,3
3,0,60431283,U,340000,42181035,6366970,3,3
4,0,60431283,U,340000,42181035,6366970,4,3
5,0,60431283,U,340000,42181035,6366970,5,3
6,0,60431283,U,340000,42181035,6366970,6,3
7,0,60431283,U,340000,42181035,6366970,7,3
8,0,60431283,U,340000,42181035,6366970,8,3
9,0,60431283,U,340000,42181035,6366970,9,3
10,0,60431283,U,340000,42181035,6366970,10,3
11,0,60431283,U,340000,42181035,6366970,11,3
12,0,60431283,U,340000,42181035,6366970,12,3
13,0,60431283,U,340000,42181035,6366970,13,3
14,0,60431283,U,340000,42181035,6366970,14,3
15,0,60431283,U,340000,42181035,6366970,15,3
16,0,60431283,U,340000,42181035,6366970,16,3
17,0,60431283,U,340000,42181035,6366970,17,3
18,0,60431283,U,340000,42181035,6366970,18,3
19,0,60431283,U,340000,42181035,6366970,19,3
20,0,60431283,U,340000,42181035,6366970,20,3
21,0,60431283,U,340000,42181035,6366970,21,3
22,14,60431283,U,340000,42181035,6366970,0,14
23,62,60431283,U,340000,42181035,6366970,0,62
24,53,60431283,U,340000,42181035,6366970,0,62
25,97,60431283,U,340000,42181035,6366970,0,97
26,93,60431283,U,340000,42181035,6366970,0,97
27,78,60431283,U,340000,42181035,6366970,0,97
28,250,60431283,L,340000,42181035,6366970,0,250
29,238,60431283,L,340000,42181035,6366970,0,250
30,240,60431283,L,340000,42181035,6366970,0,250
31,561,60431283,L,340000,42181035,6366970,0,561
32,146,60431283,L,340000,42181035,6366970,0,561
33,667,60431283,L,340000,42181035,6366970,0,667
34,587,60431283,L,340000,42181035,6366970,0,667
35,769,60431283,L,340000,42181035,6366970,0,769
36,778,60431283,L,340000,42181035,6366970,0,778
37,1247,60431283,L,340000,42181035,6366970,0,1247
38,1492,60431283,L,340000,42181035,6366970,0,1492
39,1797,60431283,L,340000,42181035,6366970,0,1797
40,977,60431283,L,340000,42181035,6366970,0,1797
41,2313,60431283,L,340000,42181035,6366970,0,2313
42,2651,60431283,L,340000,42181035,6366970,0,2651
43,2547,60431283,L,340000,42181035,6366970,0,2651
44,90,60431283,L,340000,42181035,6366970,0,2651
45,6230,60431283,L,340000,42181035,6366970,0,6230
46,4000,60431283,L,340000,42181035,6366970,0,6230
47,3526,60431283,L,340000,42181035,6366970,0,6230
48,4207,60431283,L,340000,42181035,6366970,0,6230
49,5322,60431283,L,340000,42181035,6366970,0,6230
50,5986,60431283,L,340000,42181035,6366970,0,6230
51,6557,60431283,L,340000,42181035,6366970,0,6557
52,5560,60431283,L,340000,42181035,6366970,0,6557
53,4789,60431283,L,340000,42181035,6366970,0,6557
54,5249,60431283,L,340000,42181035,6366970,0,6557
55,5210,60431283,L,340000,42181035,6366970,0,6557
56,6153,60431283,L,340000,42181035,6366970,0,6557
