Dias_primer_caso,Casos,Poblacion,Tipo_transmision,Disponibilidad_camas,Poblacion_Urbana,Poblacion_Servicios_Sanitarios,Dias_ultimo_infectado,Pico
0,1,10627165,I,160000,8799292,8926818,0,1
1,0,10627165,I,160000,8799292,8926818,1,1
2,0,10627165,I,160000,8799292,8926818,2,1
3,0,10627165,I,160000,8799292,8926818,3,1
4,0,10627165,I,160000,8799292,8926818,4,1
5,1,10627165,I,160000,8799292,8926818,0,1
6,0,10627165,I,160000,8799292,8926818,1,1
7,0,10627165,I,160000,8799292,8926818,2,1
8,3,10627165,I,160000,8799292,8926818,0,3
9,0,10627165,I,160000,8799292,8926818,1,3
10,0,10627165,I,160000,8799292,8926818,2,3
11,0,10627165,I,160000,8799292,8926818,3,3
12,6,10627165,I,160000,8799292,8926818,0,6
13,0,10627165,I,160000,8799292,8926818,1,6
14,0,10627165,I,160000,8799292,8926818,2,6
15,0,10627165,L,160000,8799292,8926818,3,6
16,0,10627165,L,160000,8799292,8926818,4,6
17,10,10627165,L,160000,8799292,8926818,0,10
18,0,10627165,L,160000,8799292,8926818,1,10
19,13,10627165,L,160000,8799292,8926818,0,13
20,78,10627165,L,160000,8799292,8926818,0,78
21,90,10627165,L,160000,8799292,8926818,0,90
22,43,10627165,L,160000,8799292,8926818,0,90
23,67,10627165,L,160000,8799292,8926818,0,90
24,80,10627165,L,160000,8799292,8926818,0,90
25,96,10627165,L,160000,8799292,8926818,0,96
